1,D,เกิดความคลาดเคลื่อนกับผู้ป่วย ส่งผลให้ต้องมีการเฝ้าระวังเพื่อให้มั่นใจว่าไม่เกิดอันตรายกับผู้ป่วย แก้ไขได้ระดับหนึ่ง แต่ยังจำเป็นต้องมีการติดตามผู้ป่วยเพิ่มเติม,1
2,E,เกิดความคลาดเคลื่อนกับผู้ป่วย ส่งผลให้เกิดอันตรายชั่วคราว และต้องได้รับการรักษาหรือแก้ไขเพิ่มเติม,1
3,F,เกิดความคลาดเคลื่อนกับผู้ป่วยส่งผลให้เกิดอันตรายชั่วคราวต้องรับไว้นอนโรงพยาบาลหรือยืดระยะเวลาในการรักษาตัวในโรงพยาบาลออกไป,1
4,C,เกิดความคลาดเคลื่อนกับผู้ป่วยแต่ไม่ทำให้ผู้ป่วยได้รับอันตราย สามารถแก้ไขเหตุการณ์ได้มีผลน่าพอใจ,1
5,A,เหตุการณ์ซึ่งมีโอกาสที่จะก่อให้เกิดความคลาดเคลื่อนหรือเหตุการณ์ที่เกือบพลาดตรวจพบหรือแก้ไขได้ทันก่อนเกิดเหตุการณ์  แต่ต้องเฝ้าระวัง (เนื่องจากอาจทำให้เกิดความคลาดเคลื่อนรุนแรงต่อไปได้),1
6,B,มีความคลาดเคลื่อนที่เกิดขึ้นแล้วแต่ตรวจพบก่อน  ยังไม่เป็นอันตรายต่อผู้ป่วยเนื่องจากความคลาดเคลื่อนไปไม่ถึงผู้ป่วย,1
7,G,เกิดความคลาดเคลื่อนกับผู้ป่วย ส่งผลให้เกิดความเสียหายหรือต่อผู้ป่วยเป็นการถาวร  เช่น เกิดความพิการถาวร,1
8,H,เกิดความคลาดเคลื่อนกับผู้ป่วยส่งผลให้เกิดความเสียหายหรืออันตรายต่อผู้ป่วยถึงขั้นต้องช่วยชีวิต,1
9,I,เกิดความคลาดเคลื่อนกับผู้ป่วยส่งผลให้ผู้ป่วยถึงขั้นเสียชีวิต,1
10,z,ไม่ระบุ,1
11,1,เหตุการณ์ซึ่งมีโอกาสเกิดความคลาดเคลื่อนในหน่วยงานหรือเหตุการณ์ที่เกือบพลาดตรวจพบหรือแก้ไขได้ทันก่อนเกิดเหตุ  และต้องเฝ้าระวัง,2
12,2,เหตุการณ์เกิดระหว่างหน่วยงาน  เกิดความคลาดเคลื่อนผิดพลาดขึ้นแล้วแต่ถูกตรวจพบก่อนไม่ส่งผลเสียหายต่อคนและองค์กร,2
13,3,เกิดความคลาดเคลื่อนกับคน/องค์กร  แต่ไม่เกิดอันตราย  สามารถแก้ไขเหตุการณ์ได้มีผลน่าพลใจ,2
14,4,"เกิดความคลาดเคลื่อนกับคน/องค์กร  ส่งผลให้ต้องมีการเฝ้าระวังเพื่อให้มั่นใจว่าไม่เกิดอันตรายหรือมีผลกระทบต่อคน, ต่อองค์กร  ทำให้ต้องหยุดปฏิบัติงานชั่วคราว  แก้ไขได้ระดับหนึ่ง",2
15,5,"เกิดความคลาดเคลื่อนกับคน/องค์กร  ส่งผลให้เกิดความเสียหายเป็นการชั่วคราวที่มีการแก้ไข/มูลค่าความเสียหาย ไม่เกิน 1,000 บาท / ถูกร้องเรียนภายในโรงพยาบาล/เหตุการณ์นั้นทราบเฉพาะภายในองค์กร",2
16,6,"เกิดความคลาดเคลื่อนกับคน/องค์กร/มูลค่าความเสียหาย 1,001-5,000 บาท/เริ่มมีบุคคลภายนอกองค์กรทราบเรื่อง",2
17,7,"เกิดความคลาดเคลื่อนกับคน/องค์กร/มูลค่าความเสียหาย 5,001-15,000 บาท/ บุคคลภายนอกองค์กรทราบเรื่อง  เริ่มมีผลกระทบต่อชื่อเสียงและภาพลักษณ์ขององค์กร",2
18,8,"เกิดความคลาดเคลื่อนกับคน/องค์กร /มูลค่าความเสียงหาย 15,001-50,000 บาท/ มีผลกระทบต่อชื่อเสียงภาพลักษณ์องค์กร  มีการร้องเรียนผ่านสื่อมวลชน /องค์กร วิชาชีพ/หรือหน่วยงานราชการที่ควบคุมโรงพยาบาล",2
19,9,"เกิดความคลาดเคลื่อนกับคน/องค์กร / มูลค่าความเสียหาย 50,001 ขึ้นไป/เกิดการฟ้องร้อง",2
20,10,ไม่ระบุ,2
21,1,พึงพอใจ,3
22,2,ไม่พึงพอใจ,3
